TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
TOILETTES;;SQUARE DU SERMENT DE KOUFRA;75014;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/square-du-serment-de-koufra-1773;"{""coordinates"": [[2.323600153804334, 48.822256265999734]], ""type"": ""MultiPoint""}";48.822256265999734,2.323600153804334
SANISETTE;;76  RUE BRANCION;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3027334854195187, 48.83192956134313]], ""type"": ""MultiPoint""}";48.83192956134313,2.3027334854195187
SANISETTE;;277  RUE DE VAUGIRARD;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.301959067980263, 48.83966605396287]], ""type"": ""MultiPoint""}";48.83966605396287,2.301959067980263
SANISETTE;;86  RUE DE LA FEDERATION;75015;24 h / 24;Oui;;;"{""coordinates"": [[2.2979882855396836, 48.85284635560979]], ""type"": ""MultiPoint""}";48.85284635560979,2.2979882855396836
SANISETTE;;BOULEVARD SUCHET;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.2682280857896506, 48.86236196660649]], ""type"": ""MultiPoint""}";48.86236196660649,2.2682280857896506
SANISETTE;;face au 21 AVENUE DU GENERAL SARRAIL;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.255987040827983, 48.845813121421486]], ""type"": ""MultiPoint""}";48.845813121421486,2.255987040827983
SANISETTE;;16  AVENUE DU PARC DES PRINCES;75016;6 h - 22 h;Oui;;;"{""coordinates"": [[2.254610908740306, 48.84122995590826]], ""type"": ""MultiPoint""}";48.84122995590826,2.254610908740306
SANISETTE;;45 BOULEVARD MARGUERITE DE ROCHECHOUART;75009;24 h / 24;Oui;;;"{""coordinates"": [[2.3433914031972214, 48.88273669644903]], ""type"": ""MultiPoint""}";48.88273669644903,2.3433914031972214
SANISETTE;;135  RUE DAMREMONT;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.3382696834994747, 48.8965489204548]], ""type"": ""MultiPoint""}";48.8965489204548,2.3382696834994747
SANISETTE;;9  BOULEVARD NEY;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3416420008837497, 48.89775890686294]], ""type"": ""MultiPoint""}";48.89775890686294,2.3416420008837497
SANISETTE;;RUE DU PRES SAINT-GERVAIS;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3930155080426063, 48.876186042326026]], ""type"": ""MultiPoint""}";48.876186042326026,2.3930155080426063
SANISETTE;;92  RUE CURIAL;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3756614735418387, 48.895834539709824]], ""type"": ""MultiPoint""}";48.895834539709824,2.3756614735418387
SANISETTE;;AVENUE DE LA PORTE BRUNET;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3978596801042724, 48.88389762041914]], ""type"": ""MultiPoint""}";48.88389762041914,2.3978596801042724
SANISETTE;;100  AVENUE DE FLANDRE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3772430004310534, 48.89096040821487]], ""type"": ""MultiPoint""}";48.89096040821487,2.3772430004310534
SANISETTE;;PLACE DE L ADJUDANT VINCENOT;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.409358996058924, 48.870690811293336]], ""type"": ""MultiPoint""}";48.870690811293336,2.409358996058924
SANISETTE;;24  RUE SAINT FARGEAU;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.402140186133077, 48.871554163366646]], ""type"": ""MultiPoint""}";48.871554163366646,2.402140186133077
SANISETTE;;9  RUE COQUILLIERE;;6 h - 1 h;Oui;;;"{""coordinates"": [[2.3424722986932665, 48.8635474009773]], ""type"": ""MultiPoint""}";48.8635474009773,2.3424722986932665
SANISETTE;;RUE SAINT ANTOINE;;24 h / 24;Oui;;;"{""coordinates"": [[2.360419701884549, 48.85530319788792]], ""type"": ""MultiPoint""}";48.85530319788792,2.360419701884549
SANISETTE;;21 bis BOULEVARD BOURDON;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.366735495873733, 48.849930706291325]], ""type"": ""MultiPoint""}";48.849930706291325,2.366735495873733
SANISETTE;;face au 50 RUE DE RIVOLI;;24 h / 24;Oui;;;"{""coordinates"": [[2.354183092290367, 48.85678942451888]], ""type"": ""MultiPoint""}";48.85678942451888,2.354183092290367
SANISETTE;;face au 75 bis RUE MONGE;;24 h / 24;Oui;;;"{""coordinates"": [[2.3520729839787404, 48.84312297015192]], ""type"": ""MultiPoint""}";48.84312297015192,2.3520729839787404
SANISETTE;;26  RUE BUFFON;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3562246831176648, 48.841308049754275]], ""type"": ""MultiPoint""}";48.841308049754275,2.3562246831176648
SANISETTE;;85  BOULEVARD RASPAIL;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.327969092306715, 48.84768309080963]], ""type"": ""MultiPoint""}";48.84768309080963,2.327969092306715
SANISETTE;;PLACE VAUBAN;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3113196527380353, 48.853625040539285]], ""type"": ""MultiPoint""}";48.853625040539285,2.3113196527380353
