TARIF,ACCES_PMR,GESTIONNAIRE,LOC,TYPE,LAT,LONG
gratuit,Oui,Paris,opposé au 17 RUE RENE BINET 75018.0,SANISETTE,48.89928991429743,2.3405303893401146
gratuit,Oui,Paris,face au 52 BOULEVARD DE ROCHECHOUART 75018.0,SANISETTE,48.88324708107194,2.3459061828144248
gratuit,Oui,Paris,57  RUE DE LA CHAPELLE 75018.0,SANISETTE,48.89508955698618,2.358838883116349
gratuit,Oui,Paris,face au 90 BOULEVARD DE LA CHAPELLE 75018.0,SANISETTE,48.884078653316436,2.3534292671943193
gratuit,Oui,Paris,7  RUE DE CAMBRAI 75019.0,SANISETTE,48.895495351952356,2.3789629758483417
gratuit,Oui,Paris,RUE BOTZARIS 75019.0,SANISETTE,48.87938389016798,2.384420443356067
gratuit,Oui,Paris,face au 12 RUE BELGRAND 75020.0,SANISETTE,48.864879404082494,2.4007780609553024
gratuit,Oui,Paris,34  RUE DURIS 75020.0,SANISETTE,48.86596750742653,2.3876318327161696
gratuit,Oui,Paris,23  BOULEVARD DE SEBASTOPOL nan,SANISETTE,48.85985523410491,2.348837230656095
gratuit,Oui,Paris,BOULEVARD DE SEBASTOPOL nan,SANISETTE,48.8648280162637,2.35161126358933
gratuit,Oui,Paris,RUE ORTOLON nan,SANISETTE,48.8431945688025,2.3505902463720973
gratuit,Oui,Paris,2  AVENUE MARCEAU nan,SANISETTE,48.86519333667549,2.3001834460794393
gratuit,Oui,Paris,1  AVENUE DE VERDUN 75010.0,SANISETTE,48.876304046298976,2.3613957718443395
gratuit,Oui,Paris,26  PLACE JEANNE D ARC 75013.0,SANISETTE,48.829779950288575,2.368968163478484
gratuit,Oui,Paris,44  BOULEVARD VINCENT AURIOL 75013.0,SANISETTE,48.83523926554277,2.368782607297408
gratuit,Oui,Paris,3  BOULEVARD DE L HOPITAL 75013.0,SANISETTE,48.84307404437706,2.364334002626625
gratuit,Oui,Paris,face au 297 BOULEVARD RASPAIL 75014.0,SANISETTE,48.83481048849861,2.332118769771475
gratuit,Oui,Paris,SQUARE DE L'AVENUE BOUTROUX 75013.0,TOILETTES,48.82166499053291,2.375899565672565
